"prefix","id","level","class_name","article","create_date","target_url","publisher"
"10.1016",58323,"WARN","Net::HTTPRequestTimeOut","10.1016/j.laa.2013.09.022","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.1016%2Fj.laa.2013.09.022&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Elsevier BV"
"10.1007",58322,"WARN","Net::HTTPRequestTimeOut","10.1007/s10646-011-0600-x","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.1007%2Fs10646-011-0600-x&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Springer Science + Business Media"
"10.4236",58321,"WARN","Net::HTTPRequestTimeOut","10.4236/epe.2013.53b009","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.4236%2Fepe.2013.53b009&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Scientific Research Publishing, Inc,"
"10.1007",58320,"WARN","Net::HTTPRequestTimeOut","10.1007/s10163-011-0017-x","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.1007%2Fs10163-011-0017-x&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Springer Science + Business Media"
"10.3992",58319,"WARN","Net::HTTPRequestTimeOut","10.3992/1943-4618-9.2.102","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.3992%2F1943-4618-9.2.102&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","College Publishing"
"10.1063",58318,"WARN","Net::HTTPRequestTimeOut","10.1063/1.3509408","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.1063%2F1.3509408&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","AIP Publishing"
"10.1007",58317,"WARN","Net::HTTPRequestTimeOut","10.1007/s10457-013-9646-5","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.1007%2Fs10457-013-9646-5&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Springer Science + Business Media"
"10.1007",58316,"WARN","Net::HTTPRequestTimeOut","10.1007/978-3-642-40261-6_39","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.1007%2F978-3-642-40261-6_39&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Springer Science + Business Media"
"10.15376",58315,"WARN","Net::HTTPRequestTimeOut","10.15376/biores.8.2.1841-1851","2014-10-27T09:52:13Z","http://search.datacite.org/api?q=relatedIdentifier:10.15376%2Fbiores.8.2.1841-1851&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","BioResources"
"10.1039",57695,"WARN","Net::HTTPRequestTimeOut","10.1039/c1dt11179e","2014-10-24T18:54:55Z","http://search.datacite.org/api?q=relatedIdentifier:10.1039%2Fc1dt11179e&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Royal Society of Chemistry (RSC)"
"10.12747",57693,"WARN","Net::HTTPRequestTimeOut","10.12747/bejr2013.01.09","2014-10-24T18:29:32Z","http://search.datacite.org/api?q=relatedIdentifier:10.12747%2Fbejr2013.01.09&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Business Ethics Journal Review"
"10.1016",57692,"WARN","Net::HTTPRequestTimeOut","10.1016/j.matdes.2011.11.007","2014-10-24T18:29:32Z","http://search.datacite.org/api?q=relatedIdentifier:10.1016%2Fj.matdes.2011.11.007&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Elsevier BV"
"10.1002",57691,"WARN","Net::HTTPRequestTimeOut","10.1002/ajoc.201300202","2014-10-24T18:29:07Z","http://search.datacite.org/api?q=relatedIdentifier:10.1002%2Fajoc.201300202&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","Wiley-Blackwell"
"10.3917",57675,"WARN","Net::HTTPRequestTimeOut","10.3917/litt.161.0097","2014-10-23T07:26:02Z","http://search.datacite.org/api?q=relatedIdentifier:10.3917%2Flitt.161.0097&fl=relatedIdentifier,doi,creator,title,publisher,publicationYear&fq=is_active:true&fq=has_metadata:true&indent=true&rows=5000&wt=json","CAIRN"
