"id","level","class_name","article","status","source","create_date","target_url"
1633795,"FATAL","Faraday::ResourceNotFound","10.5586/mb.1980.003",404,NA,"2014-11-12T21:45:08Z","https://pbsociety.org.pl/journals/index.php/asbp/index"
1633794,"FATAL","Faraday::ResourceNotFound","10.3125/econst.v292i9.213",404,NA,"2014-11-12T21:45:04Z","http://dx.doi.org/10.3125/econst.v292i9.213"
1633793,"FATAL","Faraday::ResourceNotFound","10.4314/ajtcam.v9i1.16",404,NA,"2014-11-12T21:44:56Z","http://dx.doi.org/10.4314/ajtcam.v9i1.16"
1633792,"FATAL","Faraday::ResourceNotFound","10.3125/hists.v1i0.69",404,NA,"2014-11-12T21:44:41Z","http://dx.doi.org/10.3125/hists.v1i0.69"
1633791,"FATAL","Faraday::ResourceNotFound","10.15517/aie.v13i1.8570",404,NA,"2014-11-12T21:44:38Z","http://revistas.ucr.ac.cr/index.php/aie/index"
1633789,"FATAL","Faraday::ResourceNotFound","10.3125/vss.v105i0.264",404,NA,"2014-11-12T21:44:33Z","http://dx.doi.org/10.3125/vss.v105i0.264"
1633788,"FATAL","Faraday::ResourceNotFound","10.3125/jstd.v10i4.436",404,NA,"2014-11-12T21:44:23Z","http://dx.doi.org/10.3125/jstd.v10i4.436"
1633787,"FATAL","Faraday::ResourceNotFound","10.3125/vss.v104i0.286",404,NA,"2014-11-12T21:44:19Z","http://dx.doi.org/10.3125/vss.v104i0.286"
1633785,"FATAL","Faraday::ResourceNotFound","10.3125/asean.v23i1.413",404,NA,"2014-11-12T21:44:07Z","http://dx.doi.org/10.3125/asean.v23i1.413"
1633786,"ERROR","Net::HTTPNotAcceptable","10.5700/rege389",406,NA,"2014-11-12T21:44:07Z","http://dx.doi.org/10.5700/rege389"
1633783,"FATAL","Faraday::ResourceNotFound","10.15517/aie.v13i1.8562",404,NA,"2014-11-12T21:42:49Z","http://revistas.ucr.ac.cr/index.php/aie/index"
1633784,"FATAL","Faraday::ResourceNotFound","10.4314/njphy.v17i3.38041",404,NA,"2014-11-12T21:42:49Z","http://www.ajol.info/index.php/njphy/index"
1633782,"FATAL","Faraday::ResourceNotFound","10.3125/vss.v105i0.273",404,NA,"2014-11-12T21:42:42Z","http://dx.doi.org/10.3125/vss.v105i0.273"
1633781,"ERROR","Net::HTTPNotAcceptable","10.5700/rege375",406,NA,"2014-11-12T21:42:34Z","http://dx.doi.org/10.5700/rege375"
1633780,"FATAL","Faraday::ResourceNotFound","10.4314/sajas.v40i5.65298",404,NA,"2014-11-12T21:42:31Z","http://www.ajol.info/index.php/sajas/index"
1633779,"ERROR","Net::HTTPNotAcceptable","10.5700/rege389",406,NA,"2014-11-12T21:42:29Z","http://dx.doi.org/10.5700/rege389"
1633776,"ERROR","Net::HTTPNotAcceptable","10.5700/rege460",406,NA,"2014-11-12T21:42:27Z","http://dx.doi.org/10.5700/rege460"
1633775,"FATAL","Faraday::ResourceNotFound","10.4314/sajas.v40i5.65354",404,NA,"2014-11-12T21:42:23Z","http://www.ajol.info/index.php/sajas/index"
1633774,"FATAL","Faraday::ResourceNotFound","10.3125/vss.v105i0.268",404,NA,"2014-11-12T21:42:19Z","http://dx.doi.org/10.3125/vss.v105i0.268"
1633773,"FATAL","Faraday::ResourceNotFound","10.1590/1679-775720130201",404,NA,"2014-11-12T21:42:11Z","http://dx.doi.org/10.1590/1679-775720130201"
1633771,"ERROR","Net::HTTPNotAcceptable","10.5700/rege386",406,NA,"2014-11-12T21:42:07Z","http://dx.doi.org/10.5700/rege386"
1633772,"FATAL","Faraday::ResourceNotFound","10.3125/vjn.v41i1.439",404,NA,"2014-11-12T21:42:07Z","http://dx.doi.org/10.3125/vjn.v41i1.439"
1633770,"ERROR","Net::HTTPNotAcceptable","10.5700/rege506",406,NA,"2014-11-12T21:41:57Z","http://dx.doi.org/10.5700/rege506"
1633769,"ERROR","Net::HTTPNotAcceptable","10.5700/rege411",406,NA,"2014-11-12T21:41:53Z","http://dx.doi.org/10.5700/rege411"
1633767,"FATAL","Faraday::ResourceNotFound","10.3125/asean.v22i4.390",404,NA,"2014-11-12T21:41:48Z","http://dx.doi.org/10.3125/asean.v22i4.390"
1633768,"FATAL","Faraday::ResourceNotFound","10.4314/tjog.v21i2.14481",404,NA,"2014-11-12T21:41:48Z","http://www.ajol.info/index.php/tjog/index"
1633766,"ERROR","Faraday::ResourceNotFound","10.4322/sc.2014.004",404,NA,"2014-11-12T21:41:38Z","http://www.scientiachromatographica.com/doi/10.4322/sc.2014.004"
1633765,"ERROR","Net::HTTPNotAcceptable","10.5700/rege373",406,NA,"2014-11-12T21:41:37Z","http://dx.doi.org/10.5700/rege373"
1633763,"FATAL","Faraday::ResourceNotFound","10.3125/asean.v22i3.381",404,NA,"2014-11-12T21:41:26Z","http://dx.doi.org/10.3125/asean.v22i3.381"
1633762,"ERROR","Net::HTTPNotAcceptable","10.5700/rege411",406,NA,"2014-11-12T21:41:06Z","http://dx.doi.org/10.5700/rege411"
1633761,"ERROR","Faraday::ResourceNotFound","10.4322/sc.2014.004",404,NA,"2014-11-12T21:40:51Z","http://www.scientiachromatographica.com/doi/10.4322/sc.2014.004"
1633760,"FATAL","Faraday::ResourceNotFound","10.3125/rsr.v4i0.50",404,NA,"2014-11-12T21:40:42Z","http://dx.doi.org/10.3125/rsr.v4i0.50"
1633758,"FATAL","Faraday::ResourceNotFound","10.4314/sajas.v40i5.65362",404,NA,"2014-11-12T21:40:26Z","http://www.ajol.info/index.php/sajas/index"
1633757,"FATAL","Faraday::ResourceNotFound","10.4314/aga.v20i2.1741",404,NA,"2014-11-12T21:40:21Z","http://www.ajol.info/index.php/aga/index"
1633756,"FATAL","Faraday::ResourceNotFound","10.5586/mb.1981.001",404,NA,"2014-11-12T21:39:45Z","https://pbsociety.org.pl/journals/index.php/asbp/index"
1633755,"FATAL","Faraday::ResourceNotFound","10.3125/econst.v294i11.234",404,NA,"2014-11-12T21:39:31Z","http://dx.doi.org/10.3125/econst.v294i11.234"
1633754,"FATAL","Faraday::ResourceNotFound","10.1080/11026480310020723",404,NA,"2014-11-12T21:39:30Z","http://dx.doi.org/10.1080/11026480310020723"
1633753,"FATAL","Faraday::ResourceNotFound","10.1590/S0080-62342011000500008",404,NA,"2014-11-12T21:38:57Z","http://dx.doi.org/10.1590/S0080-62342011000500008"
1633752,"FATAL","Faraday::ResourceNotFound","10.4081/thal.2014.s1.2196",404,NA,"2014-11-12T21:38:53Z","http://www.pagepressjournals.org/index.php/thal/index"
1633751,"FATAL","Faraday::ResourceNotFound","10.3125/vjn.v41i1.448",404,NA,"2014-11-12T21:38:46Z","http://dx.doi.org/10.3125/vjn.v41i1.448"
1633750,"ERROR","Net::HTTPNotAcceptable","10.5700/rege436",406,NA,"2014-11-12T21:38:44Z","http://dx.doi.org/10.5700/rege436"
1633749,"FATAL","Faraday::ResourceNotFound","10.3125/rsr.v5i0.59",404,NA,"2014-11-12T21:38:41Z","http://dx.doi.org/10.3125/rsr.v5i0.59"
1633747,"ERROR","Net::HTTPNotAcceptable","10.5700/rege466",406,NA,"2014-11-12T21:38:22Z","http://dx.doi.org/10.5700/rege466"
1633746,"FATAL","Faraday::ResourceNotFound","10.4314/sajas.v40i5.65356",404,NA,"2014-11-12T21:38:16Z","http://www.ajol.info/index.php/sajas/index"
1633745,"FATAL","Faraday::ResourceNotFound","10.1590/S0103-65642010000300006",404,NA,"2014-11-12T21:38:07Z","http://dx.doi.org/10.1590/S0103-65642010000300006"
1633743,"FATAL","Faraday::ResourceNotFound","10.3125/rsr.v5i0.63",404,NA,"2014-11-12T21:37:25Z","http://dx.doi.org/10.3125/rsr.v5i0.63"
1633742,"FATAL","Faraday::ResourceNotFound","10.3125/econst.v295i12.239",404,NA,"2014-11-12T21:37:14Z","http://dx.doi.org/10.3125/econst.v295i12.239"
1633741,"FATAL","Faraday::ResourceNotFound","10.3125/econst.v295i12.242",404,NA,"2014-11-12T21:36:52Z","http://dx.doi.org/10.3125/econst.v295i12.242"
1633740,"FATAL","Faraday::ResourceNotFound","10.3125/jstd.v10i1.354",404,NA,"2014-11-12T21:36:49Z","http://dx.doi.org/10.3125/jstd.v10i1.354"
1633739,"FATAL","Faraday::ResourceNotFound","10.3125/rsr.v4i0.53",404,NA,"2014-11-12T21:36:40Z","http://dx.doi.org/10.3125/rsr.v4i0.53"
1633737,"FATAL","Faraday::ResourceNotFound","10.3125/vss.v104i0.281",404,NA,"2014-11-12T21:36:36Z","http://dx.doi.org/10.3125/vss.v104i0.281"
1633736,"ERROR","Net::HTTPNotAcceptable","10.5700/rege423",406,NA,"2014-11-12T21:36:35Z","http://dx.doi.org/10.5700/rege423"
1633735,"FATAL","Faraday::ResourceNotFound","10.3125/hists.v3i0.320",404,NA,"2014-11-12T21:36:26Z","http://dx.doi.org/10.3125/hists.v3i0.320"
1633734,"FATAL","Faraday::ResourceNotFound","10.4081/thal.2014.s1.1967",404,NA,"2014-11-12T21:36:09Z","http://www.pagepressjournals.org/index.php/thal/index"
1633733,"FATAL","Faraday::ResourceNotFound","10.3125/hists.v3i0.320",404,NA,"2014-11-12T21:35:59Z","http://dx.doi.org/10.3125/hists.v3i0.320"
