"id","level","class_name","article","status","source","create_date","target_url"
1611808,"ERROR","StandardError",NA,NA,NA,"2014-10-31T23:00:14Z",NA
1611798,"WARN","Net::HTTPBadGateway",NA,502,NA,"2014-10-31T22:06:43Z","http://api.crossref.org/works?filter=from-update-date%3A1969-01%2Cuntil-update-date%3A2014-10-30%2Cuntil-pub-date%3A2014-10-31%2Cmember%3A1989%2Cmember%3A6251%2Cmember%3A2924%2Cmember%3A3566%2Cmember%3A1669%2Cmember%3A1670%2Cmember%3A1861%2Cmember%3A2473%2Cmember%3A2895%2Cmember%3A4873%2Cmember%3A5304%2Cmember%3A2085%2Cmember%3A2840%2Cmember%3A2869%2Cmember%3A3318%2Cmember%3A3356%2Cmember%3A3706%2Cmember%3A3950%2Cmember%3A4494%2Cmember%3A3097%2Cmember%3A4924%2Cmember%3A6181%2Cmember%3A3614%2Cmember%3A6228%2Cmember%3A5632%2Cmember%3A5370%2Cmember%3A4516%2Cmember%3A2549%2Cmember%3A434%2Cmember%3A4458%2Cmember%3A6073&offset=149000&rows=1000"
1611676,"ERROR","Net::HTTPNotAcceptable","10.5700/rege378",406,NA,"2014-10-31T20:26:54Z","http://dx.doi.org/10.5700/rege378"
1611614,"FATAL","TooManyErrorsBySourceError",NA,NA,"twitter_search","2014-10-31T20:26:50Z",NA
1611245,"ERROR","Net::HTTPNotAcceptable","10.5700/rege356",406,NA,"2014-10-31T20:26:36Z","http://dx.doi.org/10.5700/rege356"
1611242,"FATAL","Faraday::ResourceNotFound","10.1590/1678-775720130031",404,NA,"2014-10-31T20:26:32Z","http://dx.doi.org/10.1590/1678-775720130031"
1611241,"FATAL","Faraday::ResourceNotFound","10.1080/17482970601053866",404,NA,"2014-10-31T20:26:07Z","http://dx.doi.org/10.1080/17482970601053866"
1611240,"ERROR","StandardError",NA,NA,NA,"2014-10-31T19:49:06Z",NA
1611239,"ERROR","StandardError",NA,NA,NA,"2014-10-31T19:00:29Z",NA
1611238,"FATAL","TooManyErrorsBySourceError",NA,NA,"twitter_search","2014-10-31T19:00:00Z",NA
1565287,"WARN","Faraday::ClientError",NA,504,NA,"2014-10-10T18:03:35Z","http://api.crossref.org/works?filter=from-update-date%3A1900%2Cuntil-update-date%3A2014-10-09%2Cuntil-pub-date%3A2014-10-10%2Cmember%3A1989%2Cmember%3A6251%2Cmember%3A2924%2Cmember%3A3566%2Cmember%3A1669%2Cmember%3A1670%2Cmember%3A1861%2Cmember%3A2473%2Cmember%3A2895%2Cmember%3A4873%2Cmember%3A5304%2Cmember%3A2085%2Cmember%3A2840%2Cmember%3A2869%2Cmember%3A3318%2Cmember%3A3356%2Cmember%3A3706%2Cmember%3A3950%2Cmember%3A4494%2Cmember%3A3097%2Cmember%3A4924%2Cmember%3A6181%2Cmember%3A3614&offset=130000&rows=1000"
1565286,"WARN","Net::HTTPBadGateway",NA,502,NA,"2014-10-10T17:50:19Z","http://api.crossref.org/works?filter=from-update-date%3A1900%2Cuntil-update-date%3A2014-10-09%2Cuntil-pub-date%3A2014-10-10%2Cmember%3A1989%2Cmember%3A6251%2Cmember%3A2924%2Cmember%3A3566%2Cmember%3A1669%2Cmember%3A1670%2Cmember%3A1861%2Cmember%3A2473%2Cmember%3A2895%2Cmember%3A4873%2Cmember%3A5304%2Cmember%3A2085%2Cmember%3A2840%2Cmember%3A2869%2Cmember%3A3318%2Cmember%3A3356%2Cmember%3A3706%2Cmember%3A3950%2Cmember%3A4494%2Cmember%3A3097%2Cmember%3A4924%2Cmember%3A6181%2Cmember%3A3614&offset=102000&rows=1000"
1565285,"WARN","Net::HTTPBadGateway",NA,502,NA,"2014-10-10T17:50:14Z","http://api.crossref.org/works?filter=from-update-date%3A1900%2Cuntil-update-date%3A2014-10-09%2Cuntil-pub-date%3A2014-10-10%2Cmember%3A1989%2Cmember%3A6251%2Cmember%3A2924%2Cmember%3A3566%2Cmember%3A1669%2Cmember%3A1670%2Cmember%3A1861%2Cmember%3A2473%2Cmember%3A2895%2Cmember%3A4873%2Cmember%3A5304%2Cmember%3A2085%2Cmember%3A2840%2Cmember%3A2869%2Cmember%3A3318%2Cmember%3A3356%2Cmember%3A3706%2Cmember%3A3950%2Cmember%3A4494%2Cmember%3A3097%2Cmember%3A4924%2Cmember%3A6181%2Cmember%3A3614&offset=98000&rows=1000"
